"Team"	" 2010 Wins"	" 2011 Wins"	" Differential"
"Air Force"	7	9	-2
"Akron"	1	1	0
"Alabama"	11	10	1
"Arizona"	4	7	-3
"Arizona State"	6	6	0
"Arkansas"	9	10	-1
"Arkansas State"	8	4	4
"Army"	2	7	-5
"Auburn"	7	14	-7
"Ball State"	6	4	2
"Baylor"	8	7	1
"Boise State"	10	12	-2
"Boston College"	4	7	-3
"Bowling Green"	5	2	3
"Brigham Young"	8	7	1
"Buffalo"	3	2	1
"California"	5	5	0
"Central Michigan"	3	3	0
"Cincinnati"	8	4	4
"Clemson"	9	6	3
"Colorado"	3	5	-2
"Colorado State"	3	3	0
"Connecticut"	5	8	-3
"Duke"	3	3	0
"East Carolina"	5	6	-1
"Eastern Michigan"	6	2	4
"Florida"	6	8	-2
"Florida Atlantic"	1	4	-3
"Florida International"	8	7	1
"Florida State"	8	10	-2
"Fresno State"	4	8	-4
"Georgia"	10	6	4
"Georgia Tech"	8	6	2
"Hawaii"	5	10	-5
"Houston"	12	5	7
"Idaho"	2	6	-4
"Illinois"	6	7	-1
"Indiana"	1	5	-4
"Iowa"	7	8	-1
"Iowa State"	6	5	1
"Kansas"	2	3	-1
"Kansas State"	9	7	2
"Kent State"	5	5	0
"Kentucky"	5	6	-1
"Louisiana Tech"	7	5	2
"Louisiana-Lafayette"	8	3	5
"Louisiana-Monroe"	3	5	-2
"Louisville"	7	7	0
"LSU"	12	11	1
"Marshall"	6	5	1
"Maryland"	2	9	-7
"Memphis"	2	1	1
"Miami (FL)"	5	7	-2
"Miami (OH)"	4	10	-6
"Michigan"	10	7	3
"Michigan State"	10	11	-1
"Middle Tennessee"	2	6	-4
"Minnesota"	3	3	0
"Mississippi State"	6	9	-3
"Missouri"	7	10	-3
"Navy"	4	9	-5
"Nebraska"	9	10	-1
"Nevada"	5	13	-8
"New Mexico"	1	1	0
"New Mexico State"	4	2	2
"North Carolina"	7	8	-1
"North Carolina State"	7	9	-2
"North Texas"	4	3	1
"Northern Illinois"	9	11	-2
"Northwestern"	6	7	-1
"Notre Dame"	8	8	0
"Ohio"	7	8	-1
"Ohio State"	6	12	-6
"Oklahoma"	9	12	-3
"Oklahoma State"	10	11	-1
"Ole Miss"	2	4	-2
"Oregon"	10	12	-2
"Oregon State"	3	5	-2
"Pittsburgh"	5	8	-3
"Purdue"	6	4	2
"Rice"	4	4	0
"Rutgers"	8	4	4
"San Diego State"	7	9	-2
"San Jose State"	5	1	4
"South Carolina"	10	9	1
"South Florida"	5	8	-3
"Southern California"	10	8	2
"Southern Methodist"	7	7	0
"Southern Miss"	10	8	2
"Stanford"	11	12	-1
"Syracuse"	5	8	-3
"Temple"	7	8	-1
"Tennessee"	5	6	-1
"Texas"	7	5	2
"Texas A&M"	6	9	-3
"Texas Tech"	5	8	-3
"Toledo"	8	8	0
"Troy"	3	8	-5
"Tulane"	2	4	-2
"Tulsa"	8	10	-2
"U of Alabama Birmingham"	3	4	-1
"U of Central Florida"	5	11	-6
"UCLA"	6	4	2
"UNLV"	2	2	0
"Utah"	9	10	-1
"Utah State"	6	4	2
"UTEP"	5	6	-1
"Vanderbilt"	6	2	4
"Virginia"	8	4	4
"Virginia Tech"	11	11	0
"Wake Forest"	5	3	2
"Washington"	7	7	0
"Washington State"	4	2	2
"West Virginia"	8	9	-1
"Western Kentucky"	7	2	5
"Western Michigan"	7	6	1
"Wisconsin"	10	11	-1
"Wyoming"	7	3	4
"Penn State"	9	7	2
"Texas Christian"	9	13	-4
